year,month,day,date,time,location,province,lat_long,duration_seconds,colour,witnessness,shape,strangeness,source,description
2012,3,6,,,Spencerville,ON,"43.1813041, -79.3192398",,orange,2,ps,3,Sightings.com,"obj. high above trees, brightened, faded, flashed"
2012,3,17,,,St Catharines,ON,"43.1813041, -79.3192398",,orange,6,ps,3,Sightings.com,"obj. in sky moved in sky slowly, stopped, moved again"
2012,3,20,,258,St. Catharines,ON,"46.36663818, -79.92958832",,multi,2,triangle,4,Sightings.com,"slow moving obj. w/light, over treetops"
2012,12,29,,2110,Sturgeon Falls,ON,"46.36663818, -79.92958832",120,orange,3,ps,3,Sightings.com,4 lights going E-SW
2012,12,29,,2110,Sturgeon Falls,ON,"43.64855957, -79.38532257",300,orange,3,ps,3,Sightings.com,4 lights moved silently through sky
2012,9,27,,2130,T.O.,ON,"42.26166153, -82.43199921",600,blue,2,ps,2,Sightings.com,"light over SW part of city, stationary, darted around"
2012,22,31,,2000,Tilbury,ON,"43.64855957, -79.38532257",,blue,3,ps,4,Sightings.com,several flashes lit up sky
2012,4,18,,,TO,ON,"42.3178215, -83.03391266",,,2,cigar,3,Sightings.com,"2 objs. moving sporadically, low to ground, blinking lights"
2012,7,17,,2200,Windsor,ON,"42.3178215, -83.03391266",,red,2,ps,3,Sightings.com,multiple lights in triangular formation went S in line
2012,7,14,,,Windsor,ON,"42.3178215, -83.03391266",,,5,ps,3,Sightings.com,"30+ lights ""flew up"" like fireworks"
2012,4,7,,,Windsor,ON,"50.25165939, -85.79427338",,orange,5,ps,3,Sightings.com,"orb high in air, flying slowly, disappeared"
2012,4,17,,2130,,ON,"50.25165939, -85.79427338",,multi,4,ps,3,Sightings.com,"2 ""star looking things"" flashing colours"
2012,3,29,,,,ON,50.25165939,,orange,2,ps,2,Sightings.com,pulsating glow along horizon?
