"Crowdsourced data on dried cannabis expenditure, prices and use.",,,,,,,,,,,,,,,,
"The application was launched January 25, 2018. Data are being collected continuously and will be made available as new information comes in.",,,,,,,,,,,,,,,,
"All submissions are reported below, however, the associated Daily is based on the information without any outlier (Outlier = 0).",,,,,,,,,,,,,,,,
Statistics Canada applies a set of criteria on the price variable to determine whether a submission is an outlier (Outlier =1).,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Submission Date,Expenditure,Quantity,Price,Outlier,Purpose,Usage,Source,Sex at Birth,First time,Legal status,Consumption,Census subdivision,Census division,Economic region,Province,Census metropolitan area
25/01/2018,25,7,3.57,1,Use recreationally,,,,,,,Saint-Hyacinthe,Les Maskoutains,Montérégie,Quebec / Québec,24 - NonCMA
25/01/2018,8,1,8,0,Use recreationally,A few times a year,,,,,0.5,Longueuil,Longueuil,Montérégie,Quebec / Québec,Montréal
25/01/2018,160,28,5.71,0,Medicate - with a medical document,Daily,,,,,112,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
25/01/2018,120,28,4.29,0,Use recreationally,Daily,,,,,28,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
25/01/2018,120,28,4.29,0,Use recreationally,Daily,,,,,28,Longueuil,Longueuil,Montérégie,Quebec / Québec,Montréal
25/01/2018,180,28,6.43,0,Use recreationally,A few times per week,,,,,14,Val-d'Or,La Vallée-de-l'Or,Abitibi-Témiscamingue,Quebec / Québec,24 - NonCMA
25/01/2018,70,14,5,0,Use recreationally,A few times per week,,,,,7,Longueuil,Longueuil,Montérégie,Quebec / Québec,Montréal
25/01/2018,20,3.5,5.71,0,Use recreationally,,,,,,,Québec,Québec,Capitale-Nationale,Quebec / Québec,Québec
25/01/2018,70,14,5,0,Use recreationally,Daily,,,,,28,Vaudreuil-Dorion,Vaudreuil-Soulanges,Montérégie,Quebec / Québec,Montréal
25/01/2018,100,3.5,28.57,1,Use recreationally,A few times per week,,,,,7,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
25/01/2018,125,28,4.46,0,Use recreationally,Daily,,,,,28,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
25/01/2018,140,28,5,0,Use recreationally,Daily,,,,,14,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
25/01/2018,50,7,7.14,0,Use recreationally,A few times per week,,,,,14,Québec,Québec,Capitale-Nationale,Quebec / Québec,Québec
25/01/2018,230,28,8.21,0,Use recreationally,Daily,,,,,,Contrecoeur,Marguerite-D'Youville,Montérégie,Quebec / Québec,24 - NonCMA
25/01/2018,20,3.5,5.71,0,Use recreationally,A few times a year,,,,,0.5,Saint-Lin--Laurentides,Montcalm,Lanaudière,Quebec / Québec,Montréal
25/01/2018,100,28,3.57,0,Use recreationally,A few times per week,,,,,7,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
25/01/2018,80,14,5.71,0,Use recreationally,Daily,,,,,28,Amos,Abitibi,Abitibi-Témiscamingue,Quebec / Québec,24 - NonCMA
25/01/2018,30,7,4.29,0,Use recreationally,,,,,,,Québec,Québec,Capitale-Nationale,Quebec / Québec,Québec
25/01/2018,20,3.5,5.71,0,Use recreationally,A few times per month,,,,,3.5,Marieville,Rouville,Montérégie,Quebec / Québec,24 - NonCMA
25/01/2018,13,1,13,0,Use recreationally,A few times a year,,,,,0.05,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
25/01/2018,120,28,4.29,0,Use recreationally,Daily,,,,,28,Longueuil,Longueuil,Montérégie,Quebec / Québec,Montréal
25/01/2018,50,28,1.79,1,Medicate - without a medical document,,,,,,,Longueuil,Longueuil,Montérégie,Quebec / Québec,Montréal
25/01/2018,40,7,5.71,0,Use recreationally,,,,,,,Boisbriand,Thérèse-De Blainville,Laurentides,Quebec / Québec,Montréal
25/01/2018,80,14,5.71,0,Use recreationally,A few times per week,,,,,28,Longueuil,Longueuil,Montérégie,Quebec / Québec,Montréal
25/01/2018,140,28,5,0,Use recreationally,A few times per month,,,,,3.5,La Pocatière,Kamouraska,Bas-Saint-Laurent,Quebec / Québec,24 - NonCMA
25/01/2018,100,28,3.57,0,Use recreationally,,,,,,,Longueuil,Longueuil,Montérégie,Quebec / Québec,Montréal
25/01/2018,50,7,7.14,0,Use recreationally,A few times per month,,,,,0.5,Québec,Québec,Capitale-Nationale,Quebec / Québec,Québec
25/01/2018,50,7,7.14,0,Use recreationally,A few times per month,,,,,1,Sherbrooke,Sherbrooke,Estrie,Quebec / Québec,Sherbrooke
25/01/2018,25,3.5,7.14,0,Use recreationally,A few times per week,,,,,7,Victoria,Capital,Vancouver Island and Coast / Île de Vancouver et la côte,British Columbia / Colombie-Britannique,Victoria
25/01/2018,10,1,10,0,Use recreationally,,,,,,,Laval,Laval,Laval,Quebec / Québec,Montréal
25/01/2018,10,1,10,0,Medicate - without a medical document,,,,,,,Lac-Saguay,Antoine-Labelle,Laurentides,Quebec / Québec,24 - NonCMA
25/01/2018,50,7,7.14,0,Use recreationally,Daily,,,,,3.5,Vaudreuil-Dorion,Vaudreuil-Soulanges,Montérégie,Quebec / Québec,Montréal
25/01/2018,20,3.5,5.71,0,Use recreationally,A few times a year,,,,,1,Saguenay,Le Saguenay-et-son-Fjord,Saguenay--Lac-Saint-Jean,Quebec / Québec,Saguenay
25/01/2018,5,1,5,0,Use recreationally,Daily,,,,,60,Montréal-Est,Montréal,Montréal,Quebec / Québec,Montréal
25/01/2018,25,3.5,7.14,0,Medicate - without a medical document,A few times per month,,,,,1,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
25/01/2018,145,28,5.18,0,Use recreationally,Daily,,,,,14,Vancouver,Greater Vancouver,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,British Columbia / Colombie-Britannique,Vancouver
25/01/2018,180,28,6.43,0,Use recreationally,Daily,,,,,14,Saguenay,Le Saguenay-et-son-Fjord,Saguenay--Lac-Saint-Jean,Quebec / Québec,Saguenay
25/01/2018,40,7,5.71,0,Use recreationally,A few times a year,,,,,3.5,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
25/01/2018,20,3.5,5.71,0,Use recreationally,Daily,,,,,3.5,Saguenay,Le Saguenay-et-son-Fjord,Saguenay--Lac-Saint-Jean,Quebec / Québec,Saguenay
25/01/2018,40,7,5.71,0,Use recreationally,,,,,,,Saguenay,Le Saguenay-et-son-Fjord,Saguenay--Lac-Saint-Jean,Quebec / Québec,Saguenay
25/01/2018,140,28,5,0,Use recreationally,Daily,,,,,28,Québec,Québec,Capitale-Nationale,Quebec / Québec,Québec
25/01/2018,40,7,5.71,0,Use recreationally,A few times per month,,,,,1,Gatineau,Gatineau,Outaouais,Quebec / Québec,Ottawa - Gatineau (partie du Québec / Quebec part)
25/01/2018,80,14,5.71,0,Use recreationally,A few times per month,,,,,3.5,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
25/01/2018,70,7,10,0,Use recreationally,A few times per month,,,,,0.5,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
25/01/2018,20,3.5,5.71,0,Use recreationally,,,,,,,Baie-Comeau,Manicouagan,Côte-Nord,Quebec / Québec,24 - NonCMA
25/01/2018,80,28,2.86,0,Medicate - without a medical document,A few times per week,,,,,7,Longueuil,Longueuil,Montérégie,Quebec / Québec,Montréal
25/01/2018,100,28,3.57,0,Medicate - without a medical document,Daily,,,,,28,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
25/01/2018,25,3.5,7.14,0,Use recreationally,Daily,,,,,28,Lachute,Argenteuil,Laurentides,Quebec / Québec,24 - NonCMA
25/01/2018,120,28,4.29,0,Medicate - without a medical document,,,,,,,Blainville,Thérèse-De Blainville,Laurentides,Quebec / Québec,Montréal
25/01/2018,75,14,5.36,0,Use recreationally,Daily,,,,,0.5,Blainville,Thérèse-De Blainville,Laurentides,Quebec / Québec,Montréal
25/01/2018,3.22,1,3.22,0,Use recreationally,A few times per month,,,,,1,Longueuil,Longueuil,Montérégie,Quebec / Québec,Montréal
25/01/2018,145,28,5.18,0,Use recreationally,Daily,,,,,28,Laval,Laval,Laval,Quebec / Québec,Montréal
25/01/2018,80,14,5.71,0,Use recreationally,,,,,,,Brossard,Longueuil,Montérégie,Quebec / Québec,Montréal
25/01/2018,130,28,4.64,0,Use recreationally,,,,,,,Salaberry-de-Valleyfield,Beauharnois-Salaberry,Montérégie,Quebec / Québec,24 - NonCMA
25/01/2018,55,7,7.86,0,Use recreationally,Daily,,,,,14,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
25/01/2018,30,7,4.29,1,Use recreationally,A few times per week,,,,,14,Vaudreuil-Dorion,Vaudreuil-Soulanges,Montérégie,Quebec / Québec,Montréal
25/01/2018,25,3.5,7.14,0,Use recreationally,A few times a year,,,,,3.5,Dolbeau-Mistassini,Maria-Chapdelaine,Saguenay--Lac-Saint-Jean,Quebec / Québec,24 - NonCMA
25/01/2018,140,28,5,0,Medicate - without a medical document,Daily,,,,,1,Trois-Rivières,Francheville,Mauricie,Quebec / Québec,Trois-Rivières
25/01/2018,20,3.5,5.71,0,Use recreationally,Daily,,,,,0.5,Saguenay,Le Saguenay-et-son-Fjord,Saguenay--Lac-Saint-Jean,Quebec / Québec,Saguenay
25/01/2018,1.00E+08,1,100000000,1,Use recreationally,Daily,,,,,14,Rimouski,Rimouski-Neigette,Bas-Saint-Laurent,Quebec / Québec,24 - NonCMA
25/01/2018,8000,28,285.71,1,Use recreationally,,,,,,,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
25/01/2018,40,7,5.71,0,Use recreationally,Daily,,,,,20,Brossard,Longueuil,Montérégie,Quebec / Québec,Montréal
25/01/2018,1.00E+44,1,1.00E+44,1,Use recreationally,A few times per week,,,,,0.5,Rimouski,Rimouski-Neigette,Bas-Saint-Laurent,Quebec / Québec,24 - NonCMA
25/01/2018,10,1,10,0,Use recreationally,A few times a year,,,,,0.5,Saguenay,Le Saguenay-et-son-Fjord,Saguenay--Lac-Saint-Jean,Quebec / Québec,Saguenay
25/01/2018,0.1,1,0.1,1,Use recreationally,,,,,,,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
25/01/2018,5,1,5,0,Use recreationally,Daily,,,,,28,Trois-Rivières,Francheville,Mauricie,Quebec / Québec,Trois-Rivières
25/01/2018,20,3.5,5.71,0,Use recreationally,A few times a year,,,,,0.5,Saint-Jean-sur-Richelieu,Le Haut-Richelieu,Montérégie,Quebec / Québec,Montréal
25/01/2018,100,28,3.57,0,Use recreationally,Daily,,,,,28,Saint-Jean-sur-Richelieu,Le Haut-Richelieu,Montérégie,Quebec / Québec,Montréal
25/01/2018,7,1,7,0,Use recreationally,,,,,,,Barraute,Abitibi,Abitibi-Témiscamingue,Quebec / Québec,24 - NonCMA
25/01/2018,25,3.5,7.14,0,Use recreationally,,,,,,,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
25/01/2018,160,28,5.71,0,Medicate - without a medical document,Daily,,,,,1,Lévis,Lévis,Chaudière-Appalaches,Quebec / Québec,Québec
25/01/2018,40,7,5.71,0,Use recreationally,A few times a year,,,,,0.5,Saguenay,Le Saguenay-et-son-Fjord,Saguenay--Lac-Saint-Jean,Quebec / Québec,Saguenay
25/01/2018,90,28,3.21,0,Medicate - without a medical document,Daily,,,,,28,Québec,Québec,Capitale-Nationale,Quebec / Québec,Québec
25/01/2018,150,28,5.36,0,Use recreationally,Daily,,,,,56,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
25/01/2018,25,3.5,7.14,0,Use recreationally,A few times per month,,,,,3.5,Sacré-Coeur,La Haute-Côte-Nord,Côte-Nord,Quebec / Québec,24 - NonCMA
25/01/2018,25,3.5,7.14,0,Use recreationally,A few times per week,,,,,3.5,Vallée-Jonction,La Nouvelle-Beauce,Chaudière-Appalaches,Quebec / Québec,24 - NonCMA
25/01/2018,40,14,2.86,1,Use recreationally,A few times per month,,,,,7,Saguenay,Le Saguenay-et-son-Fjord,Saguenay--Lac-Saint-Jean,Quebec / Québec,Saguenay
25/01/2018,45,7,6.43,0,Medicate - without a medical document,Daily,,,,,14,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
25/01/2018,70,14,5,0,Use recreationally,Daily,,,,,28,Laval,Laval,Laval,Quebec / Québec,Montréal
25/01/2018,120,28,4.29,0,Use recreationally,Daily,,,,,3.5,Mirabel,Mirabel,Laurentides,Quebec / Québec,Montréal
25/01/2018,20,3.5,5.71,0,Use recreationally,Daily,,,,,28,Rimouski,Rimouski-Neigette,Bas-Saint-Laurent,Quebec / Québec,24 - NonCMA
25/01/2018,50,14,3.57,1,Medicate - without a medical document,Daily,,,,,28,Repentigny,L'Assomption,Lanaudière,Quebec / Québec,Montréal
25/01/2018,30,7,4.29,0,Use recreationally,A few times a year,,,,,0.5,Saguenay,Le Saguenay-et-son-Fjord,Saguenay--Lac-Saint-Jean,Quebec / Québec,Saguenay
25/01/2018,20,3.5,5.71,0,Use recreationally,Daily,,,,,3.5,Longueuil,Longueuil,Montérégie,Quebec / Québec,Montréal
25/01/2018,15,3.5,4.29,0,Use recreationally,Daily,,,,,28,Waterloo,La Haute-Yamaska,Montérégie,Quebec / Québec,24 - NonCMA
25/01/2018,15,14,1.07,1,Medicate - without a medical document,,,,,,,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
25/01/2018,45,7,6.43,0,Use recreationally,Daily,,,,,28,Québec,Québec,Capitale-Nationale,Quebec / Québec,Québec
25/01/2018,150,28,5.36,0,Use recreationally,Daily,,,,,14,Vaudreuil-Dorion,Vaudreuil-Soulanges,Montérégie,Quebec / Québec,Montréal
25/01/2018,6.5,1,6.5,0,Use recreationally,A few times a year,,,,,0.5,Vancouver,Greater Vancouver,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,British Columbia / Colombie-Britannique,Vancouver
25/01/2018,160,28,5.71,0,Use recreationally,Daily,,,,,28,Québec,Québec,Capitale-Nationale,Quebec / Québec,Québec
25/01/2018,120,28,4.29,0,Use recreationally,Daily,,,,,56,Drummondville,Drummond,Centre-du-Québec,Quebec / Québec,24 - NonCMA
25/01/2018,0.001,0.0001,10,1,Medicate - without a medical document,A few times per week,,,,,0.5,Saint-Fulgence,Le Saguenay-et-son-Fjord,Saguenay--Lac-Saint-Jean,Quebec / Québec,Saguenay
25/01/2018,7.5,1,7.5,0,Use recreationally,A few times per month,,,,,1,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
25/01/2018,50,7,7.14,0,Use recreationally,Daily,,,,,14,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
25/01/2018,90,14,6.43,0,Use recreationally,A few times per month,,,,,7,Québec,Québec,Capitale-Nationale,Quebec / Québec,Québec
25/01/2018,40,7,5.71,0,Use recreationally,Daily,,,,,28,Gatineau,Gatineau,Outaouais,Quebec / Québec,Ottawa - Gatineau (partie du Québec / Quebec part)
25/01/2018,150,28,5.36,0,Use recreationally,Daily,,,,,140,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
25/01/2018,120,28,4.29,0,Use recreationally,A few times per week,,,,,28,Blainville,Thérèse-De Blainville,Laurentides,Quebec / Québec,Montréal
25/01/2018,9,1,9,0,Medicate - without a medical document,A few times per week,,,,,7,Amos,Abitibi,Abitibi-Témiscamingue,Quebec / Québec,24 - NonCMA
25/01/2018,1E308,1,1E308,1,Medicate - with a medical document,,,,,,,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
25/01/2018,140,28,5,0,Medicate - without a medical document,Daily,,,,,14,Plessisville,L'Érable,Centre-du-Québec,Quebec / Québec,24 - NonCMA
25/01/2018,125,28,4.46,0,Use recreationally,A few times a year,,,,,1,Québec,Québec,Capitale-Nationale,Quebec / Québec,Québec
25/01/2018,86,28,3.07,0,Medicate - without a medical document,,,,,,,Rimouski,Rimouski-Neigette,Bas-Saint-Laurent,Quebec / Québec,24 - NonCMA
25/01/2018,1,3.5,0.29,1,Use recreationally,,,,,,,Napierville,Les Jardins-de-Napierville,Montérégie,Quebec / Québec,24 - NonCMA
25/01/2018,20,3.5,5.71,0,Medicate - without a medical document,A few times per week,,,,,14,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
25/01/2018,160,28,5.71,0,Medicate - without a medical document,A few times per week,,,,,3.5,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
25/01/2018,40,7,5.71,0,Use recreationally,A few times per week,,,,,28,Laval,Laval,Laval,Quebec / Québec,Montréal
25/01/2018,100,28,3.57,0,Use recreationally,,,,,,,Portneuf,Portneuf,Capitale-Nationale,Quebec / Québec,24 - NonCMA
25/01/2018,100,28,3.57,0,Use recreationally,Daily,,,,,3.5,Saint-Jean-sur-Richelieu,Le Haut-Richelieu,Montérégie,Quebec / Québec,Montréal
25/01/2018,170,28,6.07,0,Medicate - without a medical document,Daily,,,,,28,Portneuf,Portneuf,Capitale-Nationale,Quebec / Québec,24 - NonCMA
25/01/2018,80,14,5.71,0,Use recreationally,,,,,,,Québec,Québec,Capitale-Nationale,Quebec / Québec,Québec
25/01/2018,160,28,5.71,0,Use recreationally,Daily,,,,,28,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
25/01/2018,120,28,4.29,0,Medicate - without a medical document,,,,,,,Gatineau,Gatineau,Outaouais,Quebec / Québec,Ottawa - Gatineau (partie du Québec / Quebec part)
25/01/2018,80,28,2.86,0,Use recreationally,,,,,,,Sherbrooke,Sherbrooke,Estrie,Quebec / Québec,Sherbrooke
25/01/2018,160,28,5.71,0,Use recreationally,Daily,,,,,1,Québec,Québec,Capitale-Nationale,Quebec / Québec,Québec
25/01/2018,170,28,6.07,0,Use recreationally,A few times per week,,,,,28,Les Hauteurs,La Mitis,Bas-Saint-Laurent,Quebec / Québec,24 - NonCMA
25/01/2018,45,7,6.43,0,Use recreationally,A few times per week,,,,,2,Gatineau,Gatineau,Outaouais,Quebec / Québec,Ottawa - Gatineau (partie du Québec / Quebec part)
25/01/2018,80,14,5.71,0,Use recreationally,Daily,,,,,3.5,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
25/01/2018,120,28,4.29,0,Use recreationally,Daily,,,,,7,Rouyn-Noranda,Rouyn-Noranda,Abitibi-Témiscamingue,Quebec / Québec,24 - NonCMA
25/01/2018,175,28,6.25,0,Use recreationally,Daily,,,,,28,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
25/01/2018,20,3.5,5.71,0,Use recreationally,,,,,,,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
25/01/2018,80,14,5.71,0,Medicate - without a medical document,Daily,,,,,28,Québec,Québec,Capitale-Nationale,Quebec / Québec,Québec
25/01/2018,130,28,4.64,0,Use recreationally,,,,,,,Québec,Québec,Capitale-Nationale,Quebec / Québec,Québec
25/01/2018,100,14,7.14,0,Use recreationally,A few times per week,,,,,3.5,Québec,Québec,Capitale-Nationale,Quebec / Québec,Québec
25/01/2018,170,28,6.07,0,Use recreationally,Daily,,,,,14,Québec,Québec,Capitale-Nationale,Quebec / Québec,Québec
25/01/2018,30,3.5,8.57,0,Medicate - with a medical document,Daily,,,,,14,Vaudreuil-Dorion,Vaudreuil-Soulanges,Montérégie,Quebec / Québec,Montréal
25/01/2018,20,3.5,5.71,0,Use recreationally,A few times a year,,,,,28,Trois-Rivières,Francheville,Mauricie,Quebec / Québec,Trois-Rivières
25/01/2018,120,28,4.29,0,Use recreationally,Daily,,,,,28,Granby,La Haute-Yamaska,Montérégie,Quebec / Québec,24 - NonCMA
25/01/2018,320,56,5.71,0,Medicate - without a medical document,A few times per week,,,,,1,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
25/01/2018,200,28,7.14,0,Medicate - without a medical document,Daily,,,,,28,Québec,Québec,Capitale-Nationale,Quebec / Québec,Québec
25/01/2018,15,3.5,4.29,0,Use recreationally,A few times per month,,,,,3.5,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
25/01/2018,120,28,4.29,0,Use recreationally,,,,,,,Trois-Rives,Mékinac,Mauricie,Quebec / Québec,24 - NonCMA
25/01/2018,270,28,9.64,0,Use recreationally,Daily,,,,,21,Toronto,Toronto,Toronto,Ontario,Toronto
25/01/2018,80,14,5.71,0,Use recreationally,Daily,,,,,14,Québec,Québec,Capitale-Nationale,Quebec / Québec,Québec
25/01/2018,50,7,7.14,0,Use recreationally,A few times per month,,,,,0.5,Québec,Québec,Capitale-Nationale,Quebec / Québec,Québec
25/01/2018,30,3.5,8.57,0,Use recreationally,Daily,,,,,0.5,Montréal-Est,Montréal,Montréal,Quebec / Québec,Montréal
25/01/2018,35,1,35,1,Use recreationally,,,,,,,Otter Lake,Pontiac,Outaouais,Quebec / Québec,24 - NonCMA
25/01/2018,160,28,5.71,0,Use recreationally,Daily,,,,,28,Beloeil,La Vallée-du-Richelieu,Montérégie,Quebec / Québec,Montréal
25/01/2018,20,3,6.67,0,Use recreationally,A few times per month,,,,,0.5,Saguenay,Le Saguenay-et-son-Fjord,Saguenay--Lac-Saint-Jean,Quebec / Québec,Saguenay
25/01/2018,50,7,7.14,0,Use recreationally,Daily,,,,,28,Saguenay,Le Saguenay-et-son-Fjord,Saguenay--Lac-Saint-Jean,Quebec / Québec,Saguenay
25/01/2018,100,1,100,1,Use recreationally,Daily,,,,,28,Alma,Lac-Saint-Jean-Est,Saguenay--Lac-Saint-Jean,Quebec / Québec,24 - NonCMA
25/01/2018,7,1,7,0,Use recreationally,,,,,,,Joliette,Joliette,Lanaudière,Quebec / Québec,24 - NonCMA
25/01/2018,45,7,6.43,0,Use recreationally,A few times per week,,,,,1,Saguenay,Le Saguenay-et-son-Fjord,Saguenay--Lac-Saint-Jean,Quebec / Québec,Saguenay
25/01/2018,140,28,5,0,Medicate - without a medical document,Daily,,,,,28,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
25/01/2018,40,7,5.71,0,Use recreationally,Daily,,,,,56,Laval,Laval,Laval,Quebec / Québec,Montréal
25/01/2018,45,7,6.43,0,Use recreationally,A few times per month,,,,,3.5,Québec,Québec,Capitale-Nationale,Quebec / Québec,Québec
25/01/2018,25,3.5,7.14,0,Use recreationally,A few times a year,,,,,1,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
25/01/2018,100,14,7.14,0,Use recreationally,A few times per month,,,,,7,Rimouski,Rimouski-Neigette,Bas-Saint-Laurent,Quebec / Québec,24 - NonCMA
25/01/2018,280,28,10,1,Use recreationally,A few times per week,,,,,28,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
